,도로명,링크아이디,시점명,종점명,거리,차선수,평균속도,좌표
0,4.19로,1080012100,국립4.19묘지,아카데미하우스,1190.0,1.0,50.55465389784947,"LINESTRING(200922.029608 460861.980019, 200813.706352 460825.112252, 200707.872642 460752.843072, 200589.825891 460679.546093, 200508.639675 460623.026002, 200399.362529 460529.659207, 200280.270984 460423.623395, 200239.673532 460358.726898, 200208.52633 460313.958645, 200190.56621 460296.792369, 200152.264128 460271.744166, 200143.857577 460256.351464, 200146.92675 460221.055976, 200145.77581 460205.710112, 200136.184645 460178.85485, 200132.731825 460162.358046, 200129.279006 460139.722897, 200124.2916 460129.364439, 200100.889158 460095.603538, 200090.147053 460084.09414)"
1,4.19로,1080012200,아카데미하우스,국립4.19묘지,1179.0,1.0,40.80700272017409,"LINESTRING(200093.216226 460082.175907, 200103.574684 460094.452598, 200127.360773 460128.213499, 200132.348179 460140.49019, 200136.184645 460163.892633, 200140.021111 460180.389437, 200148.844983 460206.861052, 200149.612276 460222.206916, 200151.530509 460255.200524, 200157.285208 460264.791689, 200194.115282 460290.879658, 200214.619516 460307.650863, 200246.622238 460353.648765, 200286.464313 460417.337766, 200404.181614 460522.149988, 200512.914114 460615.051436, 200593.354402 460671.052228, 200711.3551 460744.320612, 200816.004752 460815.781251, 200922.660176 460853.305574)"
2,4.19로,1080012700,국립4.19묘지입구,국립4.19묘지,354.0,2.0,22.123763760880696,"LINESTRING(201260.448924 460963.718696, 201233.565275 460958.786524, 200922.029608 460861.980019)"
3,4.19로,1080012800,국립4.19묘지,국립4.19묘지입구,352.0,2.0,16.151262880824373,"LINESTRING(200925.590526 460850.520531, 201236.438749 460947.11342, 201262.614346 460951.91569)"
4,가락로,1230014100,송파사거리,배명고교,1288.0,1.0,21.17610599878392,"LINESTRING(209737.386729 444735.668203, 208590.526861 444281.476164, 208540.809008 444258.444854)"
5,가락로,1230014200,배명고교,송파사거리,1288.0,1.0,20.85105649961597,"LINESTRING(208545.852977 444247.556402, 208595.261898 444270.444603, 209741.805217 444724.511278)"
6,가락로,1230016300,송파한양아파트,송파사거리,478.0,1.0,19.68396248559908,"LINESTRING(210121.309016 445007.171976, 210080.038229 444955.711169, 210051.384243 444923.402471, 210008.834398 444884.422788, 209968.188819 444850.64011, 209916.406868 444816.416385, 209860.076039 444786.831161, 209737.28669 444735.627539)"
7,가락로,1230016400,송파사거리,송파한양아파트,484.0,1.0,23.567711045506915,"LINESTRING(209741.905256 444724.551942, 209865.185183 444775.960136, 209922.52038 444806.07286, 209975.353674 444840.991438, 210016.727116 444875.379081, 210059.949121 444914.974528, 210089.213469 444947.971437, 210130.670371 444999.664311)"
8,가락로,1230019500,방이동고분군,송파한양아파트,416.0,1.0,25.731469782066053,"LINESTRING(210312.2069 445375.480019, 210168.112696 445080.166256, 210120.940055 445006.658691)"
9,가락로,1230019600,송파한양아파트,방이동고분군,417.0,1.0,16.720034066180233,"LINESTRING(210131.039332 445000.177596, 210178.590236 445074.274594, 210322.991564 445370.217794)"
10,가락로,1230024700,방이초교,방이동고분군,844.0,1.0,17.660978822644648,"LINESTRING(210686.129485 446132.329571, 210379.464043 445506.531453, 210333.701028 445414.424892, 210312.346682 445375.74903)"
11,가락로,1230024800,방이동고분군,방이초교,845.0,1.0,21.172184683819765,"LINESTRING(210322.851782 445369.948783, 210344.331894 445408.852423, 210390.225302 445501.221427, 210696.905203 446127.04905)"
12,가로공원로,1140033300,신월사거리,가로공원로부천시계,586.0,2.0,21.24087355990784,"LINESTRING(184828.650599 448508.558545, 184655.616422 448477.088665, 184482.582245 448445.618784, 184251.870009 448403.658944)"
13,가로공원로,1140033400,가로공원로부천시계,신월사거리,586.0,2.0,19.658790234575015,"LINESTRING(184254.017237 448391.852615, 184427.051414 448423.322495, 184600.085591 448454.792375, 184830.797827 448496.752215)"
